,sentence_group_id,author,text
18,id08441,EAP,"To these speeches they gave , of course , their own interpretation ; fancying , no doubt , that at all events I should come into possession of vast quantities of ready money ; and provided I paid them all I owed , and a trifle more , in consideration of their services , I dare say they cared very little what became of either my soul or my carcass ."
19,id13117,MWS,"Her native sprightliness needed no undue excitement , and her placid heart reposed contented on my love , the well being of her children , and the beauty of surrounding nature ."
20,id14862,EAP,"I even went so far as to speak of a slightly hectic cough with which , at one time , I had been troubled of a chronic rheumatism of a twinge of hereditary gout and , in conclusion , of the disagreeable and inconvenient , but hitherto carefully concealed , weakness of my eyes ."
21,id20836,HPL,"His facial aspect , too , was remarkable for its maturity ; for though he shared his mother 's and grandfather 's chinlessness , his firm and precociously shaped nose united with the expression of his large , dark , almost Latin eyes to give him an air of quasi adulthood and well nigh preternatural intelligence ."
22,id11411,EAP,"Now the net work was not permanently fastened to the hoop , but attached by a series of running loops or nooses ."
23,id08075,HPL,"It was not that the sounds were hideous , for they were not ; but that they held vibrations suggesting nothing on this globe of earth , and that at certain intervals they assumed a symphonic quality which I could hardly conceive as produced by one player ."
24,id18925,EAP,"On every hand was a wilderness of balconies , of verandas , of minarets , of shrines , and fantastically carved oriels ."
25,id19925,EAP,"With how deep a spirit of wonder and perplexity was I wont to regard him from our remote pew in the gallery , as , with step solemn and slow , he ascended the pulpit ."
26,id19925,EAP,"This reverend man , with countenance so demurely benign , with robes so glossy and so clerically flowing , with wig so minutely powdered , so rigid and so vast , could this be he who , of late , with sour visage , and in snuffy habiliments , administered , ferule in hand , the Draconian laws of the academy ."
27,id01704,EAP,These bizarre attempts at explanation were followed by others equally bizarre .
28,id10125,EAP,"For many prodigies and signs had taken place , and far and wide , over sea and land , the black wings of the Pestilence were spread abroad ."
29,id02448,EAP,"All that as yet can fairly be said to be known is , that 'Pure gold can be made at will , and very readily from lead in connection with certain other substances , in kind and in proportions , unknown . ' Speculation , of course , is busy as to the immediate and ultimate results of this discovery a discovery which few thinking persons will hesitate in referring to an increased interest in the matter of gold generally , by the late developments in California ; and this reflection brings us inevitably to another the exceeding inopportuneness of Von Kempelen 's analysis ."
30,id23451,EAP,"I seemed to be upon the verge of comprehension without power to comprehend men , at times , find themselves upon the brink of remembrance without being able , in the end , to remember ."
31,id27907,HPL,"Our compasses , depth gauges , and other delicate instruments were ruined ; so that henceforth our only reckoning would be guesswork , based on our watches , the calendar , and our apparent drift as judged by any objects we might spy through the portholes or from the conning tower ."
32,id08121,HPL,"This the young warriors took back with them to Sarnath as a symbol of conquest over the old gods and beings of Ib , and a sign of leadership in Mnar ."
33,id15222,EAP,Meantime the whole Paradise of Arnheim bursts upon the view .
34,id00764,MWS,"I was rich and young , and had a guardian appointed for me ; and all about me would act as if I were one of their great society , while I must keep the secret that I really was cut off from them for ever ."
35,id00683,MWS,"We could make out little by the dim light , but they seemed to contain prophecies , detailed relations of events but lately passed ; names , now well known , but of modern date ; and often exclamations of exultation or woe , of victory or defeat , were traced on their thin scant pages ."
36,id11733,HPL,Even now .
37,id11733,HPL,They talked in .
38,id11733,HPL,Their tombs .
39,id03205,HPL,"Sheehan especially did they ply with inquiries , yet without eliciting any information of value concerning Old Bugs ."
40,id01948,HPL,"He cried aloud once , and a little later gave a gasp that was more terrible than a cry ."
41,id22412,HPL,"The old tracks crossed River Street at grade , and at once veered off into a region increasingly rural and with less and less of Innsmouth 's abhorrent fishy odour ."
42,id05258,MWS,"His soul overflowed with ardent affections , and his friendship was of that devoted and wondrous nature that the world minded teach us to look for only in the imagination ."
43,id00144,HPL,"After the first start , he replaced the tissue wrapping around the portrait , as if to shield it from the sordidness of the place ."
44,id19576,EAP,`` .
45,id19576,EAP,"The present peculiar condition of affairs at court , and especially of those intrigues in which ."
46,id19576,EAP,"D is known to be involved , would render the instant availability of the document its susceptibility of being produced at a moment 's notice a point of nearly equal importance with its possession . ."
47,id01577,HPL,"Wilbur 's growth was indeed phenomenal , for within three months of his birth he had attained a size and muscular power not usually found in infants under a full year of age ."
48,id01651,HPL,"Pausing , I succeeded with difficulty in raising it , whereupon there was revealed a black aperture , exhaling noxious fumes which caused my torch to sputter , and disclosing in the unsteady glare the top of a flight of stone steps ."
49,id27080,HPL,"It was all mud an ' water , an ' the sky was dark , an ' the rain was wipin ' aout all tracks abaout as fast as could be ; but beginnin ' at the glen maouth , whar the trees had moved , they was still some o ' them awful prints big as bar'ls like he seen Monday . ."
50,id20751,MWS,"The visits of Merrival to Windsor , before frequent , had suddenly ceased ."
51,id21136,EAP,"It is not to be supposed , however , that the great Underduk suffered this impertinence on the part of the little old man to pass off with impunity ."
52,id10279,EAP,I need not tell you how sceptical I have hitherto been on the topic of the soul 's immortality .
53,id12683,MWS,"I often compared myself to them , and finding that my chief superiority consisted in power , I soon persuaded myself that it was in power only that I was inferior to the chiefest potentates of the earth ."
54,id19180,HPL,"And the children 's children , and the newcomers ' children , grew up ."
55,id02236,HPL,"Dr. Johnson , as I beheld him , was a full , pursy Man , very ill drest , and of slovenly Aspect ."
56,id11523,EAP,"Presently the murmur of water fell gently upon my ear and in a few moments afterward , as I turned with the road somewhat more abruptly than hitherto , I became aware that a building of some kind lay at the foot of a gentle declivity just before me ."
57,id22530,EAP,Ellison was remarkable in the continuous profusion of good gifts lavished upon him by fortune .
58,id22197,EAP,"I still continued in the plane of the elipse , but made little progress to the eastward ."
59,id24941,MWS,"It was useless to provide many things , for we should find abundant provision in every town ."
60,id15218,MWS,"They fly quickly over the snow in their sledges ; the motion is pleasant , and , in my opinion , far more agreeable than that of an English stagecoach ."
61,id02164,MWS,"I pointed to the spot where he had disappeared , and we followed the track with boats ; nets were cast , but in vain ."
62,id17654,HPL,"I have indistinct recollections of a great storm some time after I reached the boat ; at any rate , I know that I heard peals of thunder and other tones which Nature utters only in her wildest moods ."
63,id20824,HPL,"There had seemed to be no one in the courtyard below , and I hoped there would be a chance to get away before the spreading of a general alarm ."
64,id21164,EAP,Mein Gott do you take me vor a shicken ? '' `` .
65,id21164,EAP,"No oh no '' I replied , much alarmed , `` you are no chicken certainly not . ."
66,id08820,MWS,"Perpetual fear had jaundiced his complexion , and shrivelled his whole person ."
67,id17407,MWS,The sun set ; the atmosphere grew dim and the evening star no longer shone companionless .
68,id05166,MWS,"The rain ceased ; the clouds sunk behind the horizon ; it was now evening , and the sun descended swiftly the western sky ."
69,id07779,HPL,"Nothing , however , occurred except some hill noises ; and when the day came there were many who hoped that the new horror had gone as swiftly as it had come ."
70,id14749,EAP,"The state rooms were sufficiently roomy , and each had two berths , one above the other ."
71,id10634,HPL,"It was getting dark , and the ancient roofs and chimney pots outside looked very queer through the bull 's eye window panes ."
72,id03555,MWS,"They were marched to various parts of the southern counties , quartered in deserted villages , a part were sent back to their own island , while the season of winter so far revived our energy , that the passes of the country were defended , and any increase of numbers prohibited ."
73,id26727,EAP,"We suffered no little from cold , and the dampness of the atmosphere was most unpleasant ; but the ample space in the car enabled us to lie down , and by means of cloaks and a few blankets , we did sufficiently well ."
74,id06312,MWS,"I dared , I conquered them all , till now I have sold myself to death , with the sole condition that thou shouldst follow me Fire , and war , and plague , unite for thy destruction ."
75,id06312,MWS,"O my Raymond , there is no safety for thee '' ."
76,id06312,MWS,"With an heavy heart I listened to the changes of her delirium ; I made her a bed of cloaks ; her violence decreased and a clammy dew stood on her brow as the paleness of death succeeded to the crimson of fever , I placed her on the cloaks ."
77,id24464,HPL,"Again he seemed to be in the interior of a house an old house , apparently but the details and inhabitants were constantly changing , and he could never be certain of the faces or the furniture , or even of the room itself , since doors and windows seemed in just as great a state of flux as the more presumably mobile objects ."
78,id18006,EAP,"This gentleman was clothed from head to foot in a richly embroidered black silk velvet pall , wrapped negligently around his form after the fashion of a Spanish cloak ."
79,id04459,EAP,"The pigeons appeared distressed in the extreme , and struggled to escape ; while the cat mewed piteously , and , with her tongue hanging out of her mouth , staggered to and fro in the car as if under the influence of poison ."
80,id06749,HPL,`` .
81,id06749,HPL,And what about the window panes ? '' `` .
82,id06749,HPL,They were all gone .
83,id11062,EAP,I panted I gasped for breath .
84,id11062,EAP,There could be no doubt of the design of my tormentors oh most unrelenting oh most demoniac of men I shrank from the glowing metal to the centre of the cell .
85,id01571,EAP,"With great difficulty I gained my feet , and looking dizzily around , was , at first , struck with the idea of our being among breakers ; so terrific , beyond the wildest imagination , was the whirlpool of mountainous and foaming ocean within which we were engulfed ."
86,id03152,MWS,The next morning I delivered my letters of introduction and paid a visit to some of the principal professors .
87,id06412,MWS,"Nor did Raymond make an end without drawing in vivid and glowing colours , the splendour of a kingdom , in opposition to the commercial spirit of republicanism ."
88,id10155,EAP,"How this celebrated Magazine can sustain its evidently tremendous expenses , is more than we can understand ."
89,id24823,HPL,"In a week or two it had visibly faded , and in the course of a few months it was hardly discernible with the naked eye . ."
90,id06377,MWS,"The stranger learned about twenty words at the first lesson ; most of them , indeed , were those which I had before understood , but I profited by the others ."
91,id01222,MWS,"Each people looked on the coming struggle as that which would be to a great degree decisive ; as , in case of victory , the next step would be the siege of Constantinople by the Greeks ."
92,id10142,EAP,`` .
93,id10142,EAP,But could not the cavity be detected by sounding ? .
94,id08521,MWS,"My lieutenant , for instance , is a man of wonderful courage and enterprise ; he is madly desirous of glory , or rather , to word my phrase more characteristically , of advancement in his profession ."
95,id13267,HPL,Within twenty four hours that machine near the table will generate waves acting on unrecognised sense organs that exist in us as atrophied or rudimentary vestiges .
96,id06001,HPL,"`` Everybody got aout o ' the idee o ' dyin ' excep ' in canoe wars with the other islanders , or as sacrifices to the sea gods daown below , or from snake bite or plague or sharp gallopin ' ailments or somethin ' afore they cud take to the water but simply looked forrad to a kind o ' change that wa'n't a bit horrible arter a while ."
97,id22877,EAP,The lips were of the usual marble pallor .
98,id02647,EAP,`` .
99,id02647,EAP,"That is absolutely needless , '' replied G ."
100,id10154,HPL,"Ahead lay sparse grass and scrub blueberry bushes , and beyond them the naked rock of the crag and the thin peak of the dreaded grey cottage ."
101,id22605,MWS,"To be near him , to be loved by him , to feel him again her own , was the limit of her desires ."
102,id18034,MWS,"The sky was serene ; and , as I was unable to rest , I resolved to visit the spot where my poor William had been murdered ."
103,id27266,EAP,I say `` thing '' be it observed for they tell me the Latin for it is rem .
104,id10676,MWS,"All that he said threw greatly into the shade Cornelius Agrippa , Albertus Magnus , and Paracelsus , the lords of my imagination ; but by some fatality the overthrow of these men disinclined me to pursue my accustomed studies ."
105,id03833,MWS,"The ex queen gives me Idris ; Adrian is totally unfitted to succeed to the earldom , and that earldom in my hands becomes a kingdom ."
106,id16135,EAP,"The pupils , too , upon any accession or diminution of light , underwent contraction or dilation , just such as is observed in the feline tribe ."
107,id19878,EAP,"`` Keep up the largest branch the one on this side , '' said Legrand ."
108,id25019,EAP,"And quivering awhile among the draperies of the room , it at length rested in full view upon the surface of the door of brass ."
109,id18067,MWS,"Maternal affection had not rendered Idris selfish ; at the beginning of our calamity she had , with thoughtless enthusiasm , devoted herself to the care of the sick and helpless ."
110,id23088,MWS,"He came like a protecting spirit to the poor girl , who committed herself to his care ; and after the interment of his friend he conducted her to Geneva and placed her under the protection of a relation ."
111,id06172,MWS,"I had expected some extravagant proposition , and remained silent awhile , collecting my thoughts that I might the better combat her fanciful scheme ."
112,id08466,EAP,"Matters had now assumed a really serious aspect , and I resolved to call at once upon my particular friend , Mr. Theodore Sinivate ; for I knew that here at least I should get something like definite information ."
113,id02547,EAP,"The system had its disadvantages , and even its dangers ."
114,id04451,HPL,"Everyone seemed inclined to be silent now , as though holding a secret fear ."
115,id04853,MWS,"They still appeared in public together , and lived under the same roof ."
116,id21482,EAP,`` .
117,id21482,EAP,"But , my dear fellow , you are joking then , '' said I , `` this is a very passable skull indeed , I may say that it is a very excellent skull , according to the vulgar notions about such specimens of physiology and your scarabæus must be the queerest scarabæus in the world if it resembles it ."
118,id03072,HPL,"I vaow afur Gawd , I du n't know what he wants nor what he 's a tryin ' to dew . ."
119,id08617,MWS,"He began to answer with violence : `` Yes , yes , I hate you ."
120,id08617,MWS,"You are my bane , my poison , my disgust Oh ."
121,id08617,MWS,No '' .
122,id08617,MWS,"And then his manner changed , and fixing his eyes on me with an expression that convulsed every nerve and member of my frame `` you are none of all these ; you are my light , my only one , my life ."
123,id04159,HPL,"I shivered as I wondered why I did not reach the light , and would have looked down had I dared ."
124,id18740,HPL,"The slow ravages of disease are not pleasant to watch , but in my case there was something subtler and more puzzling in the background ."
125,id11321,HPL,"As the Comte and his associates turned away from the lowly abode of the alchemists , the form of Charles Le Sorcier appeared through the trees ."
126,id06564,HPL,"As I have said , it happened when we were in the medical school , where West had already made himself notorious through his wild theories on the nature of death and the possibility of overcoming it artificially ."
127,id01004,MWS,"Besides , Perdita was with him in his retirement ; she saw the moodiness that succeeded to this forced hilarity ; she marked his disturbed sleep , his painful irritability once she had seen his tears hers had scarce ceased to flow , since she had beheld the big drops which disappointed pride had caused to gather in his eye , but which pride was unable to dispel ."
128,id09114,MWS,"I packed up my chemical instruments and the materials I had collected , resolving to finish my labours in some obscure nook in the northern highlands of Scotland ."
129,id27670,EAP,The ideas of my friend may be summed up in a few words .
130,id15648,HPL,A definite point among the stars had a claim on him and was calling him .
131,id27679,EAP,I believe I shall be forced to call them both out .
132,id14878,HPL,"God knows what that world can have been , or where he ever glimpsed the blasphemous shapes that loped and trotted and crawled through it ; but whatever the baffling source of his images , one thing was plain ."
133,id15083,EAP,"Yet all these appearances have been given I beg pardon will be given by the learned of future ages , to the Ashimah of the Syrians ."
134,id24979,MWS,My skin was embrowned by the sun ; my step was firm with conscious power .
135,id20087,HPL,"It was in these slums along Main Street that I would find the old Georgian churches , but they were all long abandoned ."
136,id06500,EAP,"`` I believe , sir , you have forgotten to pay for your brandy and water . ."
137,id21174,MWS,"I started forward and exclaimed , `` Villain ."
138,id21174,MWS,"Before you sign my death warrant , be sure that you are yourself safe . ."
139,id23958,HPL,"Only his eyes stayed whole , and they glared with a propulsive , dilated incandescence which grew as the face around them charred and dwindled ."
140,id13881,MWS,"He determined to extract and condense all of glory , power , and achievement , which might have resulted from a long reign , into the three years of his Protectorate ."
141,id01306,EAP,There was no advertisement of the picking up of this boat .
142,id15580,HPL,"Baffled , the excavators sought a conference with the Superintendent , who ordered great lengths of rope to be taken to the pit , and spliced and lowered without cessation till a bottom might be discovered ."
143,id07787,MWS,"They had received orders that if I were again taken , I should be brought to the Earl ; and his lenity made them expect a conclusion which they considered ill befitting my crime ."
144,id13315,HPL,Then the lean Nith remarked that no one had seen the old man or his wife since the night the cats were away .
145,id02772,MWS,"Six years had elapsed , passed in a dream but for one indelible trace , and I stood in the same place where I had last embraced my father before my departure for Ingolstadt ."
146,id19806,EAP,`` .
147,id19806,EAP,"But that Kidd 's accumulations were immense , is well known ."
148,id05293,HPL,"And as I looked , I beheld the head rise , the black , liquid , and deep sunken eyes open in terror , and the thin , shadowed lips part as if for a scream too frightful to be uttered ."
149,id17840,EAP,"And from their high summits , one by one , drop everlasting dews ."
150,id10113,MWS,"I had now spent many hours in tears and mournful meditation ; it was past twelve o'clock ; all was at peace in the house , and the gentle air that stole in at my window did not rustle the leaves of the twining plants that shadowed it ."
151,id17270,HPL,"With the traditionally receptive ears of the small boy , I learned much ; though an habitual secretiveness caused me to tell no one of my information or my resolve ."
152,id24267,HPL,"He did not himself understand these words , or know why certain things made him feel certain emotions ; but fancied that some unremembered dream must be responsible ."
153,id21317,MWS,"Look , I weep : for more than two years I have never enjoyed one moment free from anguish ."
154,id24125,EAP,"It is indeed demonstrable that every such impulse given the air , must , in the end , impress every individual thing that exists within the universe ; and the being of infinite understanding the being whom we have imagined might trace the remote undulations of the impulse trace them upward and onward in their influences upon all particles of an matter upward and onward for ever in their modifications of old forms or , in other words , in their creation of new until he found them reflected unimpressive at last back from the throne of the Godhead ."
155,id02655,MWS,Justine was called on for her defence .
156,id18911,HPL,"His engagement broken , Galpin moved east to begin life anew ; but before long , Appletonians heard of his dismissal in disgrace from New York University , where he had obtained an instructorship in English ."
157,id26487,HPL,"He had a narrow head , bulging , watery blue eyes that seemed never to wink , a flat nose , a receding forehead and chin , and singularly undeveloped ears ."
158,id05457,EAP,"It will be remembered , that , in the earliest stage of my speculations upon the possibility of a passage to the moon , the existence , in its vicinity , of an atmosphere , dense in proportion to the bulk of the planet , had entered largely into my calculations ; this too in spite of many theories to the contrary , and , it may be added , in spite of a general disbelief in the existence of any lunar atmosphere at all ."
159,id07762,MWS,My words flowed spontaneously my utterance was firm and quick .
160,id22890,HPL,"Only a very rare affliction , of course , could bring about such vast and radical anatomical changes in a single individual after maturity changes involving osseous factors as basic as the shape of the skull but then , even this aspect was no more baffling and unheard of than the visible features of the malady as a whole ."
161,id12353,HPL,"As I fled from that accursed castle along the bog 's edge I heard a new sound ; common , yet unlike any I had heard before at Kilderry ."
162,id05582,HPL,"He did not try to navigate after the first bold flight , for the reaction had taken something out of his soul ."
163,id21404,EAP,"A bear once , attempting to swim from Lofoden to Moskoe , was caught by the stream and borne down , while he roared terribly , so as to be heard on shore ."
164,id14312,MWS,"He obeyed her injunctions , and passed a year in exile in Cumberland ."
165,id18834,MWS,"He reverted to his past life , his successes in Greece , his favour at home ."
166,id06817,EAP,"Murderers , casting it in , would not have failed to attach a weight ."
167,id23484,HPL,"After each short and inevitable sleep I seemed older , whilst my friend aged with a rapidity almost shocking ."
168,id05876,MWS,"I look on the hands which executed the deed ; I think on the heart in which the imagination of it was conceived and long for the moment when these hands will meet my eyes , when that imagination will haunt my thoughts no more ."
169,id22987,MWS,Horrible sights were shaped to me in the turbid cloud that hovered over the city ; and my only relief was derived from the struggles I made to approach the gate .
170,id05449,HPL,"In order to reach it , he said , he would soar through abysses of emptiness , burning every obstacle that stood in his way ."
171,id24399,EAP,"`` Pierre Moreau , tobacconist , deposes that he has been in the habit of selling small quantities of tobacco and snuff to Madame L'Espanaye for nearly four years ."
172,id11413,EAP,I still quickened my pace .
173,id03950,MWS,"I resolved to fly far from the scene of my misfortunes ; but to me , hated and despised , every country must be equally horrible ."
174,id08447,EAP,"It was in the spirit of this wisdom that , among the ancient Hebrews , it was believed the gates of Heaven would be inevitably opened to that sinner , or saint , who , with good lungs and implicit confidence , should vociferate the word `` Amen '' ."
175,id08447,EAP,"It was in the spirit of this wisdom that , when a great plague raged at Athens , and every means had been in vain attempted for its removal , Epimenides , as Laertius relates , in his second book , of that philosopher , advised the erection of a shrine and temple `` to the proper God . '' LYTTLETON BARRY ."
176,id21568,EAP,"I feel confident he never would have dreamed of taking up his residence in Alexander the Great o nopolis had he been aware that , in Alexander the Great o nopolis , there lived a gentleman named John Smith if I rightly remember , who for many years had there quietly grown fat in editing and publishing the 'Alexander the Great o nopolis Gazette . ."
177,id25461,MWS,I will protect the first the latter I commit to your charge .
178,id01207,MWS,"Miserable himself that he may render no other wretched , he ought to die ."
179,id08041,HPL,The police heard a shot in the old Tillinghast house and found us there Tillinghast dead and me unconscious .
180,id03570,MWS,It is even possible that the train of my ideas would never have received the fatal impulse that led to my ruin .
181,id09713,HPL,"I had not entered the army on my own initiative , but rather as a natural result of the enlistment of the man whose indispensable assistant I was the celebrated Boston surgical specialist , Dr. Herbert West ."
182,id12320,HPL,"It was my last link with a chapter of life forever closed , and I valued it highly ."
183,id18040,EAP,The longer I meditated upon these the more intense grew the interest which had been excited within me .
184,id27756,MWS,"She often repined ; but her trust in the singleness of his affection was undisturbed ; and , when they were together , unchecked by fear , she opened her heart to the fullest delight ."
185,id15641,HPL,To me there was nothing grotesque in the bones and skeletons that strowed some of the stone crypts deep down among the foundations .
186,id11826,MWS,"He was full of thought , and remained silent during a considerable part of our ride ; at length he said , `` I must apologize to you for my abstraction ; the truth is , Ryland 's motion comes on to night , and I am considering my reply . ."
187,id06472,HPL,"The Thing can not be described there is no language for such abysms of shrieking and immemorial lunacy , such eldritch contradictions of all matter , force , and cosmic order ."
188,id04172,EAP,"To add to our dilemma , we found the pumps choked and nearly useless ."
189,id23387,EAP,By these means for they were ignorant men I found little difficulty in gaining them over to my purpose .
190,id16818,HPL,"It was queer damnably queer and my uncle spoke almost sheepishly , as if half expecting not to be believed , when he declared that of the strange faces many had unmistakably borne the features of the Harris family ."
191,id09068,EAP,"For three months a night has not passed , during the greater part of which I have not been engaged , personally , in ransacking the ."
192,id09068,EAP,D Hotel .
193,id15774,MWS,"Raymond did not wonder , that , thus situated , the artist had shrunk from notice , but he did not for this alter his resolve ."
194,id17128,HPL,"Not any more does he long for the magic of farther hills , or sigh for secrets that peer like green reefs from a bottomless sea ."
195,id08079,MWS,"But while I endured punishment and pain in their defence with the spirit of an hero , I claimed as my reward their praise and obedience ."
196,id10542,MWS,I must collect my thoughts .
197,id21056,EAP,"Never imposing upon any one myself , I suffered no one to play the possum with me ."
198,id12080,MWS,`` .
199,id12080,MWS,"Not so , '' said I , `` though I confess that my thoughts are not occupied as pleasantly as yours are ."
200,id10888,HPL,"Then , as I remained , paralysed with fear , he found his voice and in his dying breath screamed forth those words which have ever afterward haunted my days and my nights ."
201,id23731,MWS,`` Surely it is not the custom of Englishmen to receive strangers so inhospitably . .
202,id23209,MWS,"They remained confined for five months before the trial took place , the result of which deprived them of their fortune and condemned them to a perpetual exile from their native country ."
203,id25905,HPL,"they never stopped swimmin ' in an ' aout o ' the river from that cursed reef o ' Satan an ' more an ' more attic winders got a boarded up , an ' more an ' more noises was heerd in haouses as wa'n't s'posed to hev nobody in 'em . . . ."
204,id05110,HPL,"At Lawrence he had been prominent in the mock fraternity of `` Tappa Tappa Keg '' , where he was the wildest and merriest of the wild and merry young roysterers ; but this immature , collegiate frivolity did not satisfy him ."
205,id12871,HPL,"The limbs , save for their black fur , roughly resembled the hind legs of prehistoric earth 's giant saurians ; and terminated in ridgy veined pads that were neither hooves nor claws ."
206,id04666,MWS,"These are my enticements , and they are sufficient to conquer all fear of danger or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat , with his holiday mates , on an expedition of discovery up his native river ."
207,id27629,HPL,"There were adequate bolts on the two lateral doors to connecting rooms , and these I proceeded to fasten ."
208,id05317,EAP,His supposition was that `` a well taught boy very thin and tall of his age sufficiently so that he could be concealed in a drawer almost immediately under the chess board '' played the game of chess and effected all the evolutions of the Automaton .
209,id20597,EAP,"Interspersed about the room , crossing and recrossing in endless irregularity , were innumerable benches and desks , black , ancient , and time worn , piled desperately with much bethumbed books , and so beseamed with initial letters , names at full length , grotesque figures , and other multiplied efforts of the knife , as to have entirely lost what little of original form might have been their portion in days long departed ."
210,id09853,MWS,"If manly courage and resistance can save us , we will be saved ."
211,id09334,MWS,"The silver hair and benevolent countenance of the aged cottager won my reverence , while the gentle manners of the girl enticed my love ."
212,id19728,MWS,I commenced by inuring my body to hardship .
213,id25281,EAP,But these absurdities I must not pause to detail .
214,id03036,MWS,"I travelled only at night , fearful of encountering the visage of a human being ."
215,id12020,EAP,"Scarcely had we recovered our senses , before the foretopsail went into shreds , when we got up a storm stay sail and with this did pretty well for some hours , the ship heading the sea much more steadily than before ."
216,id04949,EAP,The lower portion of the other is hidden from view by the head of the unwieldy bedstead which is thrust close up against it .
217,id09194,MWS,"Adrian had introduced systematic modes of proceeding in the metropolis , which , while they were unable to stop the progress of death , yet prevented other evils , vice and folly , from rendering the awful fate of the hour still more tremendous ."
218,id01172,EAP,`` .
219,id01172,EAP,"At a quarter past eight , being no longer able to draw breath without the most intolerable pain , I proceeded forthwith to adjust around the car the apparatus belonging to the condenser ."
220,id21956,HPL,"The professor had been stricken whilst returning from the Newport boat ; falling suddenly , as witnesses said , after having been jostled by a nautical looking negro who had come from one of the queer dark courts on the precipitous hillside which formed a short cut from the waterfront to the deceased 's home in Williams Street ."
221,id01830,HPL,"Suddenly the wretch , animated with his last burst of strength , raised his hideous head from the damp and sunken pavement ."
222,id25698,EAP,`` Ha ha ha '' said that gentleman `` he he he hi hi hi ho ho ho hu hu hu hu very good indeed .
223,id25698,EAP,"You must not be astonished , mon ami ; our friend here is a wit a drole you must not understand him to the letter . ."
224,id22366,EAP,"It is true that I may not find an opportunity of transmitting it to the world , but I will not fall to make the endeavour ."
225,id17453,EAP,"I repeat that in landscape arrangements , or collocations alone , is the physical Nature susceptible of `` exaltation '' and that , therefore , her susceptibility of improvement at this one point , was a mystery which , hitherto I had been unable to solve ."
226,id15797,HPL,"He also cut timber and began to repair the unused parts of his house a spacious , peaked roofed affair whose rear end was buried entirely in the rocky hillside , and whose three least ruined ground floor rooms had always been sufficient for himself and his daughter ."
227,id14132,EAP,"In the meantime it was folly to grieve , or to think ."
228,id22533,MWS,"The extreme darkness of the stage , whose only light was received from the fire under the cauldron , joined to a kind of mist that floated about it , rendered the unearthly shapes of the witches obscure and shadowy ."
229,id25269,HPL,"Sheehan 's is the acknowledged centre to Chicago 's subterranean traffic in liquor and narcotics , and as such has a certain dignity which extends even to the unkempt attachés of the place ; but there was until lately one who lay outside the pale of that dignity one who shared the squalor and filth , but not the importance , of Sheehan 's ."
230,id06356,EAP,"Perhaps the gradation of his copy rendered it not so readily perceptible ; or , more possibly , I owed my security to the master air of the copyist , who , disdaining the letter , which in a painting is all the obtuse can see , gave but the full spirit of his original for my individual contemplation and chagrin ."
231,id27761,HPL,It was perhaps an effect of such surroundings that my mind early acquired a shade of melancholy .
232,id04015,HPL,`` .
233,id04015,HPL,"You ought to hear , though , what some of the old timers tell about the black reef off the coast Devil Reef , they call it ."
234,id08936,EAP,The prince had provided all the appliances of pleasure .
